"","source node","dest node","edge weight"
"1","2011","1017","5.35444595252447e-09"
"2","2021","2003","8.15307224766322e-09"
"3","2034","53","2.12794293468833e-08"
"4","2017","2011","5.68213164124865e-09"
"5","1012","51","9.72120067640709e-09"
"6","2033","1013","8.76425735150563e-09"
"7","1022","1006","6.99218384384459e-09"
"8","2030","1013","5.09353779676264e-09"
"9","2030","11","7.5840233214551e-09"
"10","2016","1025","7.86127262229713e-09"
"11","2035","1029","4.69745042942037e-09"
"12","1006","51","2.17461431361784e-08"
"13","2016","1029","5.55136315426075e-09"
"14","2024","1007","4.8457793407964e-09"
"15","2007","1028","3.69121519908612e-09"
"16","2005","18","1.86449716883596e-08"
"17","2027","1010","5.52573747992931e-09"
"18","2006","52","4.14116570660237e-08"
"19","1011","53","7.49086060984969e-09"
"20","1021","52","2.38024907187755e-08"
"21","2010","1012","1.38830658861921e-08"
"22","1029","50","6.82711447409268e-09"
"23","1011","49","8.70278608082863e-09"
"24","1006","1005","2.03873528158826e-08"
"25","1009","1005","1.19834738557757e-08"
"26","2025","1035","8.81147462421338e-09"
"27","2019","2015","1.11547511701813e-08"
"28","2016","13","4.2668108814473e-08"
"29","1027","1001","9.08302503255342e-09"
"30","53","11","2.6777295224228e-08"
"31","2002","49","3.48442687928913e-08"
"32","1008","12","1.30944222994967e-08"
"33","1010","11","2.5782867029253e-08"
"34","2025","58","1.35353283899805e-08"
"35","1023","52","3.41175342826713e-08"
"36","2007","1009","1.07433690850226e-08"
"37","2005","1035","1.84080716750583e-08"
"38","2024","2011","7.12382468023752e-09"
"39","2034","54","7.58973397403204e-08"
"40","2021","50","2.3571572216121e-08"
"41","1020","51","2.80709268247045e-08"
"42","2035","1007","1.3635047412243e-08"
"43","1030","54","1.63138280005396e-08"
"44","1016","13","5.92399235077951e-08"
"45","2035","17","2.48545935666709e-08"
"46","2028","1007","7.24547681096063e-09"
"47","2007","51","1.78101446071444e-08"
"48","2015","1021","1.44611615209649e-08"
"49","2028","2016","9.59834301156772e-09"
"50","2009","1035","1.44235493289894e-08"
"51","1022","17","1.53208393218598e-08"
"52","2011","2006","1.68147905861258e-08"
"53","1018","13","3.69402490147485e-08"
"54","2013","1016","2.11337462339004e-08"
"55","2013","18","2.33656968418376e-08"
