Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2009	1025	0.0038	1	265.7504	
2007	1028	0.0038	1	261.7459	
1033	58	0.0039	1	255.2506	
2015	1007	0.0041	1	241.2460	
2029	2006	0.0043	1	234.4999	
2013	1028	0.0044	1	225.4968	
2021	1009	0.0046	1	216.2500	
2010	1003	0.0047	1	214.2501	
1008	1003	0.0049	1	203.9998	
1018	17	0.0051	1	196.0000	
2010	1024	0.0052	1	193.7500	
2029	18	0.0052	1	192.2500	
2011	18	0.0053	1	188.5002	
1021	54	0.0053	1	187.4999	
2016	1029	0.0054	1	186.2499	
2021	1029	0.0058	1	171.7500	
2015	50	0.0059	1	168.9998	
2022	10	0.0060	1	166.9954	
1028	1013	0.0061	1	165.2457	
1029	51	0.0062	1	160.7501	
2016	2014	0.0063	1	159.5002	
1033	1018	0.0063	1	157.9998	
2014	1029	0.0065	1	154.9716	
1006	13	0.0066	1	151.2498	
2011	1016	0.0066	1	151.0001	
2035	1011	0.0067	1	149.4998	
1012	1011	0.0067	1	149.4958	
1014	1013	0.0068	1	146.2406	
1022	1016	0.0070	1	143.0000	
2010	1006	0.0072	1	138.2461	
1020	1010	0.0073	1	137.2497	
2025	58	0.0073	1	137.2465	
2029	1003	0.0074	2	269.5001	
2014	2008	0.0074	1	134.2500	
2006	12	0.0075	1	134.0001	
2025	1014	0.0077	1	130.2499	
2020	1028	0.0079	1	126.7499	
2022	2006	0.0080	2	250.7499	
2015	1033	0.0082	2	244.3732	
2025	1024	0.0085	2	236.2480	
2025	1006	0.0089	2	225.4936	
2015	1011	0.0092	2	217.6250	
2007	18	0.0093	2	215.4984	
2024	1018	0.0093	1	107.5001	
2007	1029	0.0096	2	209.2359	
2028	2013	0.0097	2	207.0001	
2010	2006	0.0097	1	103.2467	
1025	1003	0.0097	2	205.8748	
1016	13	0.0099	1	100.7499	
2015	10	0.0104	2	192.5001	
2006	17	0.0104	2	192.3667	
1021	51	0.0106	2	189.0000	
2030	2018	0.0109	1	91.7500	
2017	58	0.0116	1	86.2499	
2022	1008	0.0123	2	162.9983	
1028	1009	0.0123	2	162.2437	
53	50	0.0123	1	81.0000	
1010	12	0.0127	2	156.9753	
2017	10	0.0129	2	154.7501	
1006	12	0.0131	2	152.2431	
2021	1007	0.0137	3	218.5770	
2005	1007	0.0141	3	212.8334	
2005	1033	0.0143	3	210.5823	
2015	17	0.0144	3	207.8323	
2022	1013	0.0148	3	202.2463	
2007	58	0.0150	1	66.5000	
1029	1028	0.0155	1	64.4999	
1007	58	0.0158	4	253.4367	
1011	54	0.0161	3	188.4141	
1033	26	0.0175	3	171.4131	
2033	1007	0.0182	4	219.4971	
18	11	0.0189	2	105.8643	
2029	2001	0.0189	2	107.3751	
2006	58	0.0197	1	50.7500	
1003	49	0.0199	2	100.4862	
1033	53	0.0202	4	198.6832	
2021	1025	0.0208	3	144.2501	
2014	1035	0.0212	1	47.2501	
2025	12	0.0215	3	139.4920	
1018	1001	0.0218	2	91.6249	
2030	1025	0.0218	4	183.1234	
1011	58	0.0222	5	225.5485	
2007	50	0.0242	3	124.2500	
1033	1031	0.0244	3	123.1656	
2035	12	0.0245	5	204.2067	
1030	1010	0.0245	3	122.5000	
2022	1022	0.0247	3	121.2500	
1008	51	0.0260	4	153.8741	
1013	51	0.0264	4	158.9971	
2033	2029	0.0269	4	148.9291	
1025	1024	0.0280	1	35.7500	
2025	2014	0.0283	4	144.8576	
2022	2013	0.0298	6	201.3334	
58	18	0.0301	1	33.2501	
1028	1007	0.0304	5	164.4902	
2015	2014	0.0306	3	98.0767	
1021	1006	0.0311	3	96.4164	
2024	2011	0.0314	5	165.9494	
2008	54	0.0315	3	95.3281	
2008	1013	0.0316	6	189.6888	
50	13	0.0317	1	31.5001	
1025	52	0.0318	5	157.0987	
1007	11	0.0321	5	155.8418	
1035	1007	0.0337	3	89.0811	
